Julia Roberts , Enrico Colantoni , Blair Underwood , Steven Soderbergh , Full Frontal  , birthday|friend|hollywood|party|sex , Comedy|Romance
Leonardo DiCaprio , Naomi Watts , Kaitlyn Dever , Clint Eastwood , J. Edgar  , agent|fbi|federal bureau of investigation|gay relationship|secret , Biography|Crime|Drama
Christian Bale , Heath Ledger , Morgan Freeman , Christopher Nolan , The Dark Knight  , based on comic book|dc comics|psychopath|star died before release|urban setting , Action|Crime|Drama|Thriller
Jelena Jovanova , Nikola Djuricko , Branko Djuric , Angelina Jolie Pitt , In the Land of Blood and Honey  , bosnian war|church|emaciation|soldier|violence , Drama|Romance|War
Al Pacino , Marlon Brando , Robert Duvall , Francis Ford Coppola , The Godfather  , crime family|mafia|organized crime|patriarch|rise to power , Crime|Drama
Johnny Depp , Orlando Bloom , Jack Davenport , Gore Verbinski , Pirates of the Caribbean: At Worlds End  , goddess|marriage ceremony|marriage proposal|pirate|singapore , Action|Adventure|Fantasy
Mark Addy , William Hurt , Scott Grimes , Ridley Scott , Robin Hood  , 1190s|archer|england|king of england|robin hood , Action|Adventure|Drama|History
Morgan Freeman , Tom Cruise , Zo?? Bell , Joseph Kosinski , Oblivion  , cabin in the woods|drone|flying through a thunderstorm|post apocalypse|sex in a pool , Action|Adventure|Mystery|Sci-Fi
Christian Bale , Heath Ledger , Morgan Freeman , Christopher Nolan , The Dark Knight  , based on comic book|dc comics|psychopath|star died before release|urban setting , Action|Crime|Drama|Thriller
Angelina Jolie Pitt , Fisher Stevens , Lorraine Bracco , Iain Softley , Hackers  , computer|computer virus|cyberpunk|fight the system|sexual fantasy , Comedy|Crime|Drama|Thriller
